Name,Occurences,AvgLaunchAngle,MaxExitVelo,AvgExitVelo,ExitVeloFBLD,ExitVeloGB,MaxDist,AvgDist,AvgHRdist,HardHit95,HardHitPct,NumBarrels,BarrelPct,Barrels/PA
"Gallo, Joey",293,21.5,117.5,93.9,99.7,85.2,472,225,409,142,48.5,66,22.5,11.4
,,,,,,,,,,,,,,
"Davis, Khris",408,18.1,112.8,92.5,97.2,87.7,439,211,405,194,47.5,70,17.2,10.7
,,,,,,,,,,,,,,
"Martinez, J.D.",430,10.7,116.7,93,96.7,89.2,443,184,398,225,52.3,69,16,10.6
,,,,,,,,,,,,,,
"Betts, Mookie",434,18.4,110.6,92.3,95.9,88.8,452,207,400,218,50.2,61,14.1,9.9
,,,,,,,,,,,,,,
"Zimmerman, Ryan",235,7.1,110.8,92.6,97.8,89,443,164,406,124,52.8,32,13.6,9.9
,,,,,,,,,,,,,,
"Ohtani, Shohei",225,12.3,113.9,92.6,97.8,88,449,180,413,113,50.2,36,16,9.8
,,,,,,,,,,,,,,
"Grichuk, Randal",305,18.5,114.1,90.6,95.9,86.8,471,201,403,131,43,44,14.4,9.5
,,,,,,,,,,,,,,
"Trout, Mike",351,18.5,118,91.2,95.9,85.3,459,212,407,162,46.2,58,16.5,9.5
,,,,,,,,,,,,,,
"Muncy, Max",266,17.8,110.6,90.1,94.9,84.6,445,206,399,122,45.9,45,16.9,9.4
,,,,,,,,,,,,,,
"Hernandez, Teoscar",316,17,112.2,91.8,97.7,85.3,440,201,401,145,45.9,49,15.5,9.4
,,,,,,,,,,,,,,
"Cruz, Nelson",400,12.8,117,93.9,97.2,92.7,465,180,411,205,51.3,55,13.8,9.3
,,,,,,,,,,,,,,
"Thames, Eric",150,19.3,110.8,91,94.9,85.5,416,207,396,65,43.3,25,16.7,9
,,,,,,,,,,,,,,
"Pinder, Chad",212,13.3,112.3,90.2,95.8,85.6,424,187,403,90,42.5,30,14.2,9
,,,,,,,,,,,,,,
"Austin, Tyler",152,15.1,112.9,89,95.9,80.5,451,189,402,66,43.4,24,15.8,9
,,,,,,,,,,,,,,
"Stanton, Giancarlo",416,11.6,121.7,93.7,99.7,91.6,458,175,405,211,50.7,63,15.1,8.9
,,,,,,,,,,,,,,
"Yelich, Christian",441,4.7,113.6,92.3,97.2,89,441,160,407,224,50.8,57,12.9,8.8
,,,,,,,,,,,,,,
"Cave, Jake",186,10,111.4,88.4,93.7,82.2,443,186,419,71,38.2,27,14.5,8.7
,,,,,,,,,,,,,,
"Baez, Javier",444,9.2,113.7,89.6,96.9,84.5,481,174,404,192,43.2,56,12.6,8.7
,,,,,,,,,,,,,,
"Acuna Jr., Ronald",313,12.9,114,90.8,95.3,87.1,452,182,410,146,46.6,42,13.4,8.6
,,,,,,,,,,,,,,
"Judge, Aaron",266,12.3,119.9,94.7,97.7,92.2,471,184,397,144,54.1,43,16.2,8.6
,,,,,,,,,,,,,,
"Sanchez, Gary",231,14.3,121.1,90.2,97.7,85.9,461,171,413,95,41.1,32,13.9,8.6
,,,,,,,,,,,,,,
"Machado, Manny",533,14.4,114.8,91.6,95.1,90.1,444,184,403,257,48.2,60,11.3,8.5
,,,,,,,,,,,,,,
"Palka, Daniel",264,11.5,118.4,92.3,97.4,90.1,448,172,410,130,49.2,38,14.4,8.5
,,,,,,,,,,,,,,
"Story, Trevor",434,15.7,112.5,90.7,95,86.6,505,200,421,198,45.6,55,12.7,8.4
,,,,,,,,,,,,,,
"Renfroe, Hunter",299,18.4,113.7,89.9,97.4,85.2,438,183,402,130,43.5,37,12.4,8.4
,,,,,,,,,,,,,,
"Carpenter, Matt",410,20.4,109.5,89.6,94.3,80.9,432,231,389,182,44.4,56,13.7,8.3
,,,,,,,,,,,,,,
"Morales, Kendrys",323,10,111.6,92.3,95.3,90.3,437,180,395,170,52.6,39,12.1,8.3
,,,,,,,,,,,,,,
"Goldschmidt, Paul",420,15.7,112.9,90.8,95.9,87,450,191,400,184,43.8,57,13.6,8.3
,,,,,,,,,,,,,,
"Upton, Justin",363,11.8,114.9,90.8,96.8,85.9,443,185,403,172,47.4,51,14,8.3
,,,,,,,,,,,,,,
"Perez, Salvador",407,18,112.1,91.2,94.3,89,454,203,398,193,47.4,44,10.8,8.1
,,,,,,,,,,,,,,
